(0, (HighCard [Two; Three; Seven; Ace; King], 253))
(878, (FullHouse [Queen; Ten; Queen; Ten; Ten], 871))
(879, (FullHouse [Queen; Queen; Nine; Nine; Nine], 305))
(880, (FullHouse [Queen; Queen; Ten; Ten; Queen], 841))
(881, (FullHouse [Queen; Queen; Queen; Five; Five], 448))
(882, (FullHouse [Queen; Queen; King; King; Queen], 352))
(883, (FullHouse [Queen; Queen; Ace; Queen; Ace], 864))
(884, (FullHouse [Queen; Queen; Ace; Ace; Ace], 135))
(885, (FullHouse [King; Three; Three; King; Three], 330))
(886, (FullHouse [King; King; Two; King; Two], 487))
(887, (FullHouse [King; King; Nine; Nine; Nine], 664))
(888, (FullHouse [King; King; Jack; King; Jack], 696))
(889, (FullHouse [King; King; King; Three; Three], 977))
(890, (FullHouse [King; King; King; Seven; Seven], 69))
(891, (FullHouse [Ace; Four; Ace; Four; Four], 25))
(892, (FullHouse [Ace; Six; Six; Ace; Ace], 623))
(893, (FullHouse [Ace; Seven; Seven; Ace; Seven], 719))
(894, (FullHouse [Ace; Ten; Ten; Ten; Ace], 934))
(895, (FullHouse [Ace; King; Ace; King; King], 597))
(896, (FullHouse [Ace; King; Ace; Ace; King], 801))
(897, (FullHouse [Ace; Ace; Ten; Ace; Ten], 445))
(898, (FourOfAKind [Two; Two; Two; Two; Six], 318))
(899, (FourOfAKind [Two; Two; Two; Two; Ten], 702))
(900, (FourOfAKind [Two; Two; Two; Two; Ace], 7))
(901, (FourOfAKind [Two; Two; Four; Two; Two], 701))
(902, (FourOfAKind [Two; Two; Seven; Two; Two], 615))
(903, (FourOfAKind [Two; Two; Eight; Two; Two], 582))
(904, (FourOfAKind [Two; Two; Jack; Two; Two], 650))
(905, (FourOfAKind [Two; Two; King; Two; Two], 256))
(906, (FourOfAKind [Two; Four; Four; Four; Four], 606))
(907, (FourOfAKind [Three; Two; Three; Three; Three], 547))
(908, (FourOfAKind [Three; Three; Three; Seven; Three], 122))
(909, (FourOfAKind [Three; Three; Three; Ace; Three], 451))
(910, (FourOfAKind [Three; Three; Five; Three; Three], 991))
(911, (FourOfAKind [Three; Three; Nine; Three; Three], 300))
(912, (FourOfAKind [Three; Three; Queen; Three; Three], 780))
(913, (FourOfAKind [Three; Four; Three; Three; Three], 638))
(914, (FourOfAKind [Three; Ten; Three; Three; Three], 63))
(915, (FourOfAKind [Three; Jack; Three; Three; Three], 776))
(916, (FourOfAKind [Four; Four; Three; Four; Four], 175))
(917, (FourOfAKind [Four; Four; Four; Four; Six], 90))
(918, (FourOfAKind [Four; Four; Four; Four; Ace], 168))
(919, (FourOfAKind [Four; Four; Four; Ten; Four], 550))
(920, (FourOfAKind [Four; Five; Five; Five; Five], 939))
(921, (FourOfAKind [Four; Seven; Four; Four; Four], 850))
(922, (FourOfAKind [Four; Nine; Four; Four; Four], 278))
(923, (FourOfAKind [Four; Queen; Queen; Queen; Queen], 746))
(924, (FourOfAKind [Five; Four; Four; Four; Four], 633))
(925, (FourOfAKind [Five; Five; Five; Five; Two], 438))
(926, (FourOfAKind [Five; Five; Five; Five; Ten], 43))
(927, (FourOfAKind [Five; Five; Five; Five; Queen], 34))
(928, (FourOfAKind [Five; Five; Five; Jack; Five], 13))
(929, (FourOfAKind [Five; Five; Five; King; Five], 851))
(930, (FourOfAKind [Five; Five; Eight; Five; Five], 268))
(931, (FourOfAKind [Five; Eight; Eight; Eight; Eight], 673))
(932, (FourOfAKind [Five; Ten; Ten; Ten; Ten], 336))
(933, (FourOfAKind [Six; Six; Two; Six; Six], 177))
(934, (FourOfAKind [Six; Six; Six; Four; Six], 243))
(935, (FourOfAKind [Six; Six; Eight; Six; Six], 152))
(936, (FourOfAKind [Six; Six; Jack; Six; Six], 126))
(937, (FourOfAKind [Six; Six; Ace; Six; Six], 129))
(938, (FourOfAKind [Six; Nine; Six; Six; Six], 166))
(939, (FourOfAKind [Seven; Seven; Seven; Three; Seven], 536))
(940, (FourOfAKind [Seven; Seven; Seven; Four; Seven], 426))
(941, (FourOfAKind [Seven; Seven; Seven; Five; Seven], 502))
(942, (FourOfAKind [Seven; Seven; Seven; Six; Seven], 971))
(943, (FourOfAKind [Seven; Seven; Seven; Seven; Eight], 537))
(944, (FourOfAKind [Seven; Jack; Seven; Seven; Seven], 75))
(945, (FourOfAKind [Seven; Ace; Seven; Seven; Seven], 375))
(946, (FourOfAKind [Seven; Ace; Ace; Ace; Ace], 216))
(947, (FourOfAKind [Eight; Four; Four; Four; Four], 137))
(948, (FourOfAKind [Eight; Eight; Two; Eight; Eight], 761))
(949, (FourOfAKind [Eight; Eight; Seven; Eight; Eight], 17))
(950, (FourOfAKind [Eight; Eight; Eight; Four; Eight], 938))
(951, (FourOfAKind [Eight; Eight; Eight; Eight; Six], 153))
(952, (FourOfAKind [Eight; Eight; Jack; Eight; Eight], 859))
(953, (FourOfAKind [Eight; Nine; Nine; Nine; Nine], 460))
(954, (FourOfAKind [Eight; Ten; Eight; Eight; Eight], 705))
(955, (FourOfAKind [Nine; Seven; Seven; Seven; Seven], 817))
(956, (FourOfAKind [Nine; Seven; Nine; Nine; Nine], 78))
(957, (FourOfAKind [Nine; Eight; Eight; Eight; Eight], 635))
(958, (FourOfAKind [Nine; Nine; Nine; Two; Nine], 875))
(959, (FourOfAKind [Nine; Nine; Nine; Six; Nine], 831))
(960, (FourOfAKind [Nine; Nine; Nine; Nine; Four], 523))
(961, (FourOfAKind [Nine; Nine; Nine; Queen; Nine], 954))
(962, (FourOfAKind [Nine; Nine; Nine; King; Nine], 82))
(963, (FourOfAKind [Nine; Nine; Nine; Ace; Nine], 194))
(964, (FourOfAKind [Nine; Nine; Jack; Nine; Nine], 908))
(965, (FourOfAKind [Nine; King; King; King; King], 832))
(966, (FourOfAKind [Ten; Three; Ten; Ten; Ten], 18))
(967, (FourOfAKind [Ten; Seven; Seven; Seven; Seven], 198))
(968, (FourOfAKind [Ten; Ten; Ten; Seven; Ten], 520))
(969, (FourOfAKind [Ten; Ten; Ten; Ten; Nine], 649))
(970, (FourOfAKind [Ten; Ten; Ten; Queen; Ten], 264))
(971, (FourOfAKind [Ten; Ten; Jack; Ten; Ten], 108))
(972, (FourOfAKind [Jack; Four; Four; Four; Four], 893))
(973, (FourOfAKind [Jack; Eight; Jack; Jack; Jack], 155))
(974, (FourOfAKind [Jack; Queen; Queen; Queen; Queen], 400))
(975, (FourOfAKind [Queen; Three; Queen; Queen; Queen], 672))
(976, (FourOfAKind [Queen; Eight; Eight; Eight; Eight], 337))
(977, (FourOfAKind [Queen; Eight; Queen; Queen; Queen], 401))
(978, (FourOfAKind [Queen; Queen; Five; Queen; Queen], 233))
(979, (FourOfAKind [Queen; Queen; Queen; Two; Queen], 795))
(980, (FourOfAKind [Queen; Queen; Queen; Nine; Queen], 294))
(981, (FourOfAKind [Queen; Queen; Queen; Queen; Seven], 98))
(982, (FourOfAKind [Queen; Queen; Queen; Queen; Ten], 624))
(983, (FourOfAKind [Queen; Queen; King; Queen; Queen], 700))
(984, (FourOfAKind [Queen; Ace; Queen; Queen; Queen], 420))
(985, (FourOfAKind [King; Eight; Eight; Eight; Eight], 731))
(986, (FourOfAKind [King; King; Seven; King; King], 299))
(987, (FourOfAKind [King; King; Eight; King; King], 424))
(988, (FourOfAKind [King; King; King; Two; King], 397))
(989, (FourOfAKind [King; King; King; Three; King], 978))
(990, (FourOfAKind [King; King; King; King; Six], 989))
(991, (FourOfAKind [King; King; King; King; Ten], 940))
(992, (FourOfAKind [King; King; King; King; Jack], 86))
(993, (FourOfAKind [Ace; Six; Ace; Ace; Ace], 39))
(994, (FourOfAKind [Ace; Nine; Ace; Ace; Ace], 242))
(995, (FourOfAKind [Ace; Ten; Ten; Ten; Ten], 77))
(996, (FourOfAKind [Ace; Ten; Ace; Ace; Ace], 814))
(997, (FourOfAKind [Ace; Ace; Ace; Ace; Jack], 614))
(998, (FourOfAKind [Ace; Ace; Ace; Ace; King], 174))
(999, (FiveOfAKind [Jack; Jack; Jack; Jack; Jack], 10))
